ticker,final_score,filing_signal,anomaly_type,top_reason,score_breakdown
SUNPHARMA,0.0,neutral,,General updates on Fibromun and Nidlegy do not typically have a significant impact on stock price.,filing=+0.00*0.65; urgency=0.00*0.10; anomaly=0.00*0.25
AXISBANK,0.0,neutral,,"Trading window closure does not directly impact stock price, but may indicate upcoming events.",filing=+0.00*0.65; urgency=0.00*0.10; anomaly=0.00*0.25
DRREDDY,0.0,neutral,,"The company has revised its code of practices for fair disclosures, which is a regulatory requirement.",filing=+0.00*0.65; urgency=0.00*0.10; anomaly=0.00*0.25
AUROPHARMA,0.0,neutral,,Aurobindo Pharma's entry into a marketing agreement is a neutral event with no significant impact on the company's financials.,filing=+0.00*0.65; urgency=0.00*0.10; anomaly=0.00*0.25
TITAN,0.0,neutral,,The company's shareholders meeting and voting results do not indicate any significant changes or surprises.,filing=+0.00*0.65; urgency=0.00*0.10; anomaly=0.00*0.25
HEROMOTOCO,0.0,neutral,,Appointment of Senior Management Personnel is a neutral event with moderate impact on the company's operations.,filing=+0.00*0.65; urgency=0.00*0.10; anomaly=0.00*0.25
POWERGRID,0.0,neutral,,"The company has successfully commissioned a project, but the filing does not provide specific financial or operational details.",filing=+0.00*0.65; urgency=0.00*0.10; anomaly=0.00*0.25
APOLLOHOSP,0.0,neutral,,Trading window closure is a routine event and does not necessarily indicate any significant company news.,filing=+0.00*0.65; urgency=0.00*0.10; anomaly=0.00*0.25
M&M,0.0,neutral,,Board meeting to consider dividend has no significant impact on stock price,filing=+0.00*0.65; urgency=0.00*0.10; anomaly=0.00*0.25
BAJAJ-AUTO,0.0,neutral,,"Bajaj Auto's step-down subsidiary Bajaj Mobility AG reported successful turnaround and record motorsport season, but no direct impact on Bajaj Auto's financials.",filing=+0.00*0.65; urgency=0.00*0.10; anomaly=0.00*0.25
GODREJCP,0.0,neutral,,Trading window closure is a routine event with no direct impact on the company's financials.,filing=+0.00*0.65; urgency=0.00*0.10; anomaly=0.00*0.25
ASIANPAINT,-0.425,bearish,,Amalgamation/Merger may lead to short-term market volatility and potential decline in stock price.,filing=-0.70*0.65; urgency=0.30*0.10; anomaly=0.00*0.25
INFY,-0.425,bearish,,"Infosys is acquiring another company, which may dilute shareholder value.",filing=-0.70*0.65; urgency=0.30*0.10; anomaly=0.00*0.25
TATASTEEL,-0.425,bearish,,"Tata Steel Limited has informed about pendency of litigation, which may negatively impact the company's financials.",filing=-0.70*0.65; urgency=0.30*0.10; anomaly=0.00*0.25
TECHM,-0.425,bearish,,"The company's insider is selling shares, which may indicate a loss of confidence in the company's future prospects.",filing=-0.70*0.65; urgency=0.30*0.10; anomaly=0.00*0.25
HINDALCO,-0.44,bearish,,Hindalco Industries Limited's subsidiary Novelis Inc. entering a Material Definitive Agreement may indicate potential risks or uncertainties.,filing=-0.70*0.65; urgency=0.15*0.10; anomaly=0.00*0.25
CIPLA,-0.4695,bearish,oversold,Key management personnel resignation may impact company's future direction and performance.,filing=-0.80*0.65; urgency=0.30*0.10; anomaly=0.08*0.25
KOTAKBANK,-0.49,bearish,,"The company is facing an alleged Rs 160-crore FD fraud, which may negatively impact investor sentiment.",filing=-0.80*0.65; urgency=0.30*0.10; anomaly=0.00*0.25
