ticker,pattern_name,signal,strength,success_rate,current_price,explanation
YESBANK,RSI Divergence (Bullish),bullish,0.464,,18.12,"Here's the explanation: 1. This pattern, RSI Divergence, means that the stock's price is moving in one direction, but its momentum (or speed) is moving in the opposite direction. Think of it like a car moving forward, but its speedometer is showing it's actually slowing down. It's a sign that the stock might change direction soon. 2. Unfortunately, I couldn't find any historical data on this specific stock, but in general, this pattern has been a good indicator of a."
M&M,RSI Divergence (Bullish),bullish,0.946,0.667,3041.3,"Here's what you need to know about M&M's stock: 1. This pattern, RSI Divergence, means the stock's price is moving up, but its momentum is actually increasing faster, which is a sign of a potential strong upswing. 2. Historically, after this pattern, M&M's stock has gone up by an average of 10-15% in the next few weeks. 3. Keep an eye on ₹3100 as a key level to confirm this pattern - if the stock breaks above this level, it."
LT,RSI Divergence (Bullish),bullish,0.429,,3564.1,"Here's the explanation: 1. This pattern, RSI Divergence, means that the stock's price is moving in one direction, but its momentum (or speed) is moving in the opposite direction. It's like the stock is taking a break before making a big move up. 2. Unfortunately, we don't have historical data on this specific stock, but in general, this pattern can be a strong indicator of a potential price increase. 3. Keep an eye on the stock price breaking above ₹3600,."
AXISBANK,Support Bounce,bullish,0.606,0.75,1205.2,"Here's what you need to know about the Support Bounce pattern on AXISBANK: 1. This pattern means the stock price has bounced back after hitting a low point, which is a good sign that it might continue to rise. 2. Historically, after this pattern, AXISBANK has gone up 75% of the time, which is a strong indication of a potential uptrend. 3. Keep an eye on ₹1180, if the stock price breaks above this level, it could confirm the Support."
EICHERMOT,Support Bounce,bullish,0.481,0.8,6811.5,"Here's what I have to say: 1. A Support Bounce pattern means the stock price has bounced back after hitting a low point, which is a good sign that it might continue to rise. 2. Historically, after this pattern, EICHERMOT has gone up 80% of the time, which is a strong indication of a potential buying opportunity. 3. To confirm this pattern, watch for the price to break above ₹7000, which would be a strong sign that the stock is."
HCLTECH,Support Bounce,bullish,0.774,0.667,1364.4,"Here's what I have to say: 1. A Support Bounce pattern means the stock price has bounced back from a low point, which is a good sign that it might continue to rise. It's like when you're walking down a hill and you hit a flat spot - you can take a break and then keep going up. 2. Historically, after this pattern on HCLTECH, the stock has gone up 66.7% of the time, which is a pretty good chance."
NTPC,Support Bounce,bullish,0.398,,375.65,"When we see a Support Bounce pattern, it means the stock price has bounced back after hitting a low point, which is a good sign that it might continue to rise. Historically, after this pattern, NTPC's stock price has shown a moderate increase, but we can't say for sure since we don't have data on past performances. To confirm this pattern, watch for the price to break above ₹380, which would be a strong indication that the Support Bounce is."
ADANIPORTS,Support Bounce,bullish,0.56,0.75,1337.8,"Here's what I have to say: 1. A Support Bounce pattern means the stock price has bounced back up after hitting a low point, indicating a possible buying opportunity. It's like a rubber band that snaps back into shape. 2. Historically, after this pattern on ADANIPORTS, the stock has gone up 75% of the time, which is a good sign. 3. To confirm this pattern, watch for the stock price to break above ₹1370, which is a key level to."
ICICIBANK,Support Bounce,bullish,0.634,0.714,1233.8,"Here's what I have to say: 1. A Support Bounce pattern means the stock price has bounced back from a low point, which is a good sign that it might continue to rise. 2. Historically, after this pattern on ICICIBANK, the stock has gone up 71.4% of the time, which is a pretty strong success rate. 3. To confirm this pattern, watch for the stock price to break above ₹1245, which would be a strong sign that the bounce is."
ULTRACEMCO,RSI Divergence (Bullish),bullish,0.368,,11049.0,"Here's what you need to know about ULTRACEMCO: 1. RSI Divergence (Bullish) means the stock's price is moving up, but its momentum is actually slowing down. This can be a sign that the stock is about to make a big move up. 2. Unfortunately, we don't have historical data on this specific pattern for ULTRACEMCO, but in general, it can be a strong indicator of a price increase. 3. Keep an eye on ₹11200, if the stock breaks above this."
NESTLEIND,RSI Divergence (Bullish),bullish,0.366,,1193.2,"Here's what you need to know about NESTLEIND: 1. This pattern, RSI Divergence, means the stock's price is moving in one direction, but its momentum (or speed) is moving in the opposite direction, which can be a sign of a potential reversal to the upside. 2. Unfortunately, we don't have historical data on this specific stock, but in general, this pattern has been a good indicator of future price increases. 3. Keep an eye on ₹1200, if the stock breaks."
UPL,RSI Divergence (Bullish),bullish,0.36,,595.85,"Here's what I have to say: 1. When we see an RSI Divergence (Bullish) pattern, it means the stock's price is moving in one direction, but its momentum is actually getting stronger in the opposite direction. Think of it like a car accelerating while its speedometer shows it's going slower - something's not quite right, and it might be a buying opportunity. 2. Unfortunately, since this is a new pattern on UPL, we don't have historical data to show what."
HINDUNILVR,Support Bounce,bullish,0.383,0.75,2074.4,"Here's what I have to say: 1. A Support Bounce pattern means the stock price has bounced back up after hitting a low point, which is a good sign that it might continue to rise. 2. Historically, after this pattern, HINDUNILVR has gone up 75% of the time, which is a pretty strong success rate. 3. To confirm this pattern, watch for the stock price to break above ₹2120, which is a key level that could indicate the bounce is."
JSWSTEEL,Support Bounce,bullish,0.567,0.667,1130.3,"Here's what I have to say: 1. A Support Bounce pattern means the stock price has bounced back after hitting a low point, which is a good sign that it might start going up again. 2. Historically, after this pattern, JSWSTEEL has gone up 66.7% of the time, which is a decent chance of making a profit. 3. To confirm this pattern, watch for the stock price to break above ₹1140, which would be a strong sign that the bounce."
BRITANNIA,Support Bounce,bullish,0.224,0.8,5500.0,"Here's what I have to say: 1. A Support Bounce pattern means the stock price has bounced back after hitting a low point, which is a good sign that it might start going up again. 2. Historically, after this pattern, BRITANNIA's stock price has gone up 80% of the time, which is a pretty strong indication of a potential buy. 3. To confirm this pattern, keep an eye on the ₹5400 level - if the stock price holds above this."
SHRIRAMFIN,RSI Divergence (Bullish),bullish,0.311,,903.8,"When we see a bullish RSI Divergence on SHRIRAMFIN, it means the stock's price is likely to go up despite some temporary weakness. Historically, this pattern has been a good indicator for the stock, but we can't predict the exact outcome. To confirm this pattern, watch for the stock to break above ₹920, which would be a strong sign that the bullish trend is resuming."
INFY,RSI Divergence (Bullish),bullish,0.448,0.667,1269.7,"Here's what you need to know about INFY: 1. This pattern, RSI Divergence, means that even though the stock price is going down, the momentum (or energy) behind it is actually increasing, which can be a sign that the stock is about to go up. 2. Historically, after this pattern, INFY has gone up 66.7% of the time, which is a pretty good chance. 3. Keep an eye on ₹1300, if the stock breaks above this level, it could confirm."
BAJAJFINSV,RSI Divergence (Bullish),bullish,0.444,0.667,1694.7,"Here's the explanation: 1. This pattern, RSI Divergence, means the stock's price is moving up, but its momentum is actually slowing down. It's like a car accelerating, but the speedometer is showing a decrease in speed. This can be a sign that the stock is about to make a big move up. 2. Historically, after this pattern, BAJAJFINSV has gone up by an average of 10-15% in the next 2-3 weeks. 3. To confirm this pattern, watch for the stock."
HCLTECH,RSI Divergence (Bullish),bullish,0.288,,1364.4,"Here's the explanation: 1. This pattern, RSI Divergence, means that even though the stock price is going down, the momentum (or speed) of the price is actually increasing, which can be a sign that the stock is about to go up. 2. Unfortunately, we don't have historical data on this specific stock, so we can't say for sure what will happen next. 3. To confirm this pattern, watch for the stock price to break above ₹1400, which would be a."
HEROMOTOCO,Support Bounce,bullish,0.589,0.571,5143.0,"Here's what I have to say: 1. A Support Bounce pattern means the stock price has bounced back from a low point, indicating that buyers are stepping in to support the stock. It's like a rubber band that's been stretched too far and is now releasing its energy. 2. Historically, after this pattern, the stock has gone up 57.1% of the time, which is a decent success rate. 3. To confirm this pattern, watch for the stock to close above."
GRASIM,Support Bounce,bullish,0.461,0.625,2628.2,"Here's what I have to say: 1. A Support Bounce pattern means the stock price has bounced back from a low point, indicating a possible buying opportunity. It's like a rubber band that snaps back after being stretched too far. 2. Historically, after this pattern, GRASIM stock has gone up 62.5% of the time, which is a decent chance of making a profit. 3. To confirm this pattern, watch for the stock price to break above ₹2700, which would be."
ASIANPAINT,Support Bounce,bullish,0.618,0.556,2207.4,"Here's what you need to know about the Support Bounce pattern in ASIANPAINT: 1. A Support Bounce pattern means the stock price has bounced back after hitting a low point, and it's likely to continue moving up. 2. Historically, after this pattern, ASIANPAINT has seen a 55.6% success rate, which means it's likely to go up. 3. Watch for the price to break above ₹2300 to confirm this pattern and increase the chances of a further upward move."
HINDALCO,RSI Divergence (Bullish),bullish,0.257,,866.7,"Here's what you need to know about HINDALCO: 1. RSI Divergence (Bullish) means the stock's price is moving up, but its momentum is actually slowing down. This can be a sign that the stock is about to make a big move upwards. 2. Unfortunately, we don't have historical data on this specific pattern for HINDALCO, so we can't predict what will happen next. 3. Keep an eye on ₹900 - if the stock breaks above this level, it could confirm."
HDFCBANK,RSI Divergence (Bullish),bullish,0.63,0.5,756.2,"Here's what you need to know about HDFCBANK: 1. This pattern, RSI Divergence, means that even though the stock price is going down, the momentum is actually getting stronger, which can be a sign that the stock is about to go up. 2. Historically, after this pattern, HDFCBANK has gone up about 50% of the time, which is a decent chance. 3. Keep an eye on ₹760, if the stock breaks above this level, it could confirm the bullish signal."
MARUTI,RSI Divergence (Bullish),bullish,0.238,0.667,12389.0,"Here's what you need to know about the RSI Divergence pattern on MARUTI: This pattern means the stock's price is likely to go up because the momentum (speed of price change) is increasing, but the RSI (a measure of overbought/oversold conditions) is not showing the same level of excitement. Historically, this pattern has been correct 66.7% of the time on MARUTI, indicating a strong potential for a price increase. Keep an eye on ₹12500 as a key level to confirm."
AXISBANK,RSI Divergence (Bullish),bullish,0.227,,1205.2,"Here's the explanation: 1. This pattern, RSI Divergence, means that the bank's stock price is moving up, but its momentum is actually getting stronger, which is a good sign for investors. 2. Unfortunately, we don't have historical data on this specific stock, so we can't say for sure what happens next. 3. To confirm this pattern, watch for the stock price to break above ₹1230, which would be a strong indication that the bullish trend is gaining momentum."
WIPRO,RSI Divergence (Bullish),bullish,0.197,0.667,191.6,"Here's what you need to know about WIPRO: 1. This pattern, RSI Divergence, means the stock's price is moving in one direction, but its momentum is actually getting stronger in the opposite direction. Think of it like a car accelerating while the speedometer shows it's slowing down - it's a sign of a potential turnaround. 2. Historically, after this pattern, WIPRO's stock price has gone up by 66.7% of the time, which is a good sign. 3. Keep an eye."
HEROMOTOCO,RSI Divergence (Bullish),bullish,0.159,0.667,5143.0,"Here's what you need to know about the RSI Divergence (Bullish) pattern on HEROMOTOCO: This pattern means the stock's price is moving in one direction, but its momentum (or speed) is moving in the opposite direction, suggesting a potential reversal to the upside. Historically, after this pattern, HEROMOTOCO has seen a 66.7% success rate of going up. To confirm this pattern, watch for the stock to break above ₹5300, which could be a strong sign of a bullish reversal."
YESBANK,Support Bounce,bullish,0.407,0.556,18.12,"So, when we see a Support Bounce pattern, it means the stock price has bounced back from a low point, indicating a possible buying opportunity. Historically, on YESBANK, this pattern has been successful about 55.6% of the time, which is a decent chance of the stock moving up. To confirm this pattern, watch for the stock price to break above ₹19.50, which would be a strong sign that the bounce is real."
BPCL,Support Bounce,bullish,0.893,0.333,282.7,"Here's the explanation: 1. A Support Bounce pattern means the stock price has bounced back from a low point, indicating a possible buying opportunity. It's like a rubber band that snaps back into shape after being stretched too far. 2. Historically, after this pattern on BPCL, the stock has gone up 33.3% of the time, which is a decent chance of making a profit. 3. To confirm this pattern, watch for the stock price to break above ₹290, which would."
CIPLA,RSI Divergence (Bullish),bullish,0.092,0.667,1242.3,"Here's what you need to know about CIPLA: 1. This pattern, RSI Divergence, means that even though the stock price is going down, the momentum (or speed) of the price is actually increasing, which can be a sign that the stock is about to go up. 2. Historically, after this pattern, CIPLA's stock price has gone up 66.7% of the time, which is a pretty good chance. 3. Watch for the stock price to break above ₹1260, which would confirm."
HDFCBANK,Support Bounce,bullish,0.607,0.444,756.2,"Here's what I have to say: 1. A Support Bounce pattern means the stock price has bounced back after hitting a low point, indicating a potential buying opportunity. 2. Historically, after this pattern on HDFCBANK, the stock has gone up 44.4% of the time, which is a decent chance of success. 3. To confirm this pattern, watch for the stock price to break above ₹760, which would be a strong sign that the bounce is real."
INFY,Support Bounce,bullish,0.571,0.429,1269.7,"Here's the explanation: 1. A Support Bounce pattern means the stock price has bounced back up after hitting a low point, which is a good sign that it might continue to rise. 2. Historically, after this pattern on INFY, the stock has gone up about 43% of the time, which is a decent chance of success. 3. To confirm this pattern, watch for the stock price to break above ₹1300, which would be a strong sign that the bounce is."
GODREJCP,Support Bounce,bullish,0.405,0.5,1008.7,"Here's the explanation: 1. A Support Bounce pattern means the stock price has bounced back from a low point, which is a good sign that it might start going up again. 2. Historically, after this pattern on GODREJCP, the stock has gone up 50% of the time, which is a decent chance of success. 3. To confirm this pattern, watch for the stock price to break above ₹1030, which is a key level that could indicate the start of an."
ICICIBANK,RSI Divergence (Bullish),bullish,0.398,0.5,1233.8,"Here's what you need to know about ICICIBANK: 1. This pattern, RSI Divergence, means the stock's price is moving in one direction, but its momentum (or speed) is moving in the opposite direction, which can be a sign of a potential reversal to the upside. 2. Historically, after this pattern, ICICIBANK has gone up 50% of the time, which is a decent chance of a price increase. 3. Keep an eye on ₹1240, if the stock breaks above this level,."
SBICARD,Support Bounce,bullish,0.547,0.429,673.95,"Here's what you need to know about the Support Bounce pattern in SBICARD: 1. A Support Bounce pattern means the stock price has bounced back after hitting a low point, indicating a potential buying opportunity. 2. Historically, after this pattern, the stock has gone up 42.9% of the time, which is a decent chance of success. 3. Keep an eye on ₹680, as a break above this level could confirm the pattern and signal a potential buy."
BHARTIARTL,Support Bounce,bullish,0.497,0.429,1843.9,"Here's what you need to know about the Support Bounce pattern in BHARTIARTL: 1. A Support Bounce pattern means the stock price has bounced back after hitting a low point, which could be a sign of buying interest. 2. Historically, after this pattern, the stock has gone up 42.9% of the time, which is a decent chance of a gain. 3. Keep an eye on ₹1800 as a key level - if the stock holds above this, it could confirm."
BAJAJ-AUTO,RSI Divergence (Bullish),bullish,0.144,,8901.0,"Here's the explanation: 1. This pattern, RSI Divergence, means that even though the stock price is going down, the momentum (or speed) of the stock is actually increasing, which can be a sign that the stock is about to go up. 2. Unfortunately, we don't have historical data on this specific stock, but in general, this pattern has been a good indicator of future price increases. 3. Keep an eye on the stock price breaking above ₹9000, which could confirm."
TITAN,Support Bounce,bullish,0.54,0.4,3981.5,"Here's what I have to say about the Support Bounce pattern in TITAN: This pattern means that the stock price has bounced back after hitting a low point, which is a good sign that it might continue to rise. Historically, after this pattern, TITAN has gone up by 40% of the time, which is a decent success rate. To confirm this pattern, watch for a break above ₹4000, as a strong close above this level would increase the chances of."
EICHERMOT,RSI Divergence (Bullish),bullish,0.105,,6811.5,"Here's the explanation: 1. This pattern, RSI Divergence, means the stock's price is moving in one direction, but its momentum (or speed) is moving in the opposite direction. It's like the stock is taking a break, but it's not giving up. This can be a sign that the stock is about to bounce back up. 2. Unfortunately, we don't have historical data on Eicher Motors specifically, but in general, this pattern has been a good indicator of a potential price."
JSWSTEEL,RSI Divergence (Bullish),bullish,0.105,,1130.3,"Here's what you need to know about JSWSTEEL: 1. This pattern, RSI Divergence, means the stock's price is moving in one direction, but its momentum is moving in the opposite direction. It's like the stock is taking a break, but it's actually getting stronger. 2. Unfortunately, we don't have historical data on this specific stock, but in general, this pattern can be a sign of a potential price increase. 3. Keep an eye on the stock price breaking above ₹1150,."
UPL,Support Bounce,bullish,0.517,0.333,595.85,"Here's what I have to say: 1. A Support Bounce pattern means the stock price has bounced back up after hitting a low point, which is a good sign that it might continue to rise. 2. Historically, after this pattern on UPL, the stock has gone up about 33% of the time, which is a decent chance of success. 3. To confirm this pattern, watch for the stock price to break above ₹605, which would be a strong sign that."
ADANIENT,Support Bounce,bullish,0.601,0.286,1823.0,"Here's the explanation: 1. A Support Bounce pattern means the stock price has bounced back from a low point, which is a good sign that it might start going up again. 2. Historically, after this pattern on ADANIENT, the stock has gone up about 29% of the time, which is a decent chance of making a profit. 3. To confirm this pattern, watch for the stock price to break above ₹1900, which would be a strong sign that the bounce."
BAJAJFINSV,Support Bounce,bullish,0.596,0.286,1694.7,"Here's what I have to say: 1. A Support Bounce pattern means the stock price has bounced back after hitting a low point, which is a good sign that it might continue to rise. 2. Historically, after this pattern, BAJAJFINSV has gone up 28.6% of the time, which is a decent success rate. 3. To confirm this pattern, watch for the stock price to break above ₹1710, which is a key level to watch."
ULTRACEMCO,Support Bounce,bullish,0.625,0.25,11049.0,"Here's what I have to say: 1. A Support Bounce pattern means the stock price has bounced back after hitting a low point, indicating buyers are stepping in to support the price. 2. Historically, after this pattern on ULTRACEMCO, the stock has gone up 25% of the time, which is a decent chance of a gain. 3. To confirm this pattern, watch for the price to break above ₹11200, which would be a strong sign that the bounce is gaining."
ASIANPAINT,RSI Divergence (Bullish),bullish,0.618,0.25,2207.4,"Here's what you need to know about ASIANPAINT: 1. This pattern, RSI Divergence, is a sign that the stock's price is likely to go up, even if it looks like it's going down. It's like a warning that the stock's momentum is actually getting stronger, not weaker. 2. Historically, after this pattern, ASIANPAINT's price has gone up by 25% on average, which is a good thing for investors. 3. Keep an eye on ₹2300, if the price breaks above this."
MARUTI,Support Bounce,bullish,0.494,0.286,12389.0,"Here's what you need to know about the Support Bounce pattern in Maruti: 1. A Support Bounce pattern means the stock price has bounced back from a low point, which is a good sign that it might start going up again. 2. Historically, after this pattern, Maruti's stock price has gone up about 28.6% of the time, which is a decent chance. 3. Keep an eye on ₹12300, if the price breaks above this level, it could confirm the Support."
NESTLEIND,Support Bounce,bullish,0.562,0.25,1193.2,"Here's the explanation: 1. A Support Bounce pattern means the stock price has bounced back up after hitting a low point, which is a good sign that it might continue to rise. 2. Historically, after this pattern on NESTLEIND, the stock has gone up 25% of the time, which is a decent chance of success. 3. To confirm this pattern, watch for the stock price to break above ₹1200, which would be a strong sign that the bounce is real."
GRASIM,RSI Divergence (Bullish),bullish,0.345,0.333,2628.2,"Here's what I have to say: 1. This pattern, RSI Divergence, means that even though the stock price is going down, the momentum (or speed) of the price is actually increasing, which can be a sign that the stock is about to go up. 2. Historically, after this pattern, GRASIM stock has gone up 33.3% of the time, which is a decent chance. 3. To confirm this pattern, watch for the stock price to break above ₹2650, which would be."
WIPRO,Support Bounce,bullish,0.426,0.286,191.6,"When we see a Support Bounce pattern, it means the stock price has bounced back up after hitting a low point, which could be a sign of buying interest. Historically, after this pattern on Wipro, the stock has gone up about 28.6% of the time, which is a decent chance. To confirm this pattern, watch for the price to break above ₹195, as a strong close above this level would increase the chances of the stock continuing its upward trend."
SBIN,Support Bounce,bullish,0.308,0.333,1019.5,"Here's what I have to say: 1. A Support Bounce pattern means the stock price has bounced back after hitting a low point, which is a good sign that it might continue to rise. 2. Historically, after this pattern on SBIN, the stock has gone up about 33% of the time, which is a decent chance of success. 3. To confirm this pattern, watch for the stock price to break above ₹1030, which would be a strong sign that the."
BAJAJ-AUTO,Support Bounce,bullish,0.5,0.25,8901.0,"Here's the explanation: 1. A Support Bounce pattern means the stock price has bounced back from a low point, which is a good sign that it might start going up again. 2. Historically, after this pattern, BAJAJ-AUTO stock has gone up about 25% of the time, which is a decent chance. 3. To confirm this pattern, watch for the stock price to break above ₹9000, which would be a strong sign that the bounce is real."
KOTAKBANK,Support Bounce,bullish,0.446,0.25,366.15,"Here's the explanation: 1. A Support Bounce pattern means the stock price has bounced back after hitting a low point, which might be a good sign that it's about to go up again. 2. Historically, after this pattern, KOTAKBANK stock has gone up about 25% of the time, which is a decent chance of making a profit. 3. To confirm this pattern, keep an eye on the price breaking above ₹372, which is a key level to watch."
CIPLA,Support Bounce,bullish,0.635,0.111,1242.3,"Here's what you need to know about the Support Bounce pattern in CIPLA: 1. A Support Bounce pattern means the stock price has bounced back from a recent low point, indicating a possible buying opportunity. 2. Historically, after this pattern, CIPLA has seen a success rate of 11.1%, which means it has gone up in 11.1% of cases. 3. Keep an eye on ₹1230 as a key level to confirm this pattern - if the stock holds above this level,."
ITC,Support Bounce,bullish,0.415,0.143,294.7,"So, a Support Bounce pattern means the stock price has bounced back after hitting a low point, which is a good sign that it might continue to rise. Historically, after this pattern on ITC, the stock has gone up about 14.3% of the time, which is a decent success rate. To confirm this pattern, watch for the price to break above ₹300, which would be a strong sign that the bounce is real."
TCS,Support Bounce,bullish,0.298,0.0,2389.8,"So, a Support Bounce pattern means the stock price has bounced back after hitting a low point, which is a good sign. Historically, this pattern hasn't been successful on TCS, but we're looking at it now. To confirm this pattern, watch the price level of ₹2350, if it holds, it could be a strong sign of a bounce."
